t,CAP_UTIL
1985-01-01,82.5
1985-04-01,83.4
1985-07-01,84.1
1985-10-01,84.3
1986-01-01,84.8
1986-04-01,84.7
1986-07-01,84.7
1986-10-01,84.8
1987-01-01,84.2
1987-04-01,84.1
1987-07-01,84.1
1987-10-01,84.3
1988-01-01,84.5
1988-04-01,85.3
1988-07-01,86.1
1988-10-01,87.0
1989-01-01,87.9
1989-04-01,88.2
1989-07-01,88.8
1989-10-01,89.1
1990-01-01,89.3
1990-04-01,89.6
1990-07-01,89.7
1990-10-01,90.0
1991-01-01,88.7
1991-04-01,88.1
1991-07-01,86.9
1991-10-01,86.0
1992-01-01,85.8
1992-04-01,80.4
1992-07-01,79.4
1992-10-01,77.6
1993-01-01,76.4
1993-04-01,76.0
1993-07-01,76.0
1993-10-01,77.0
1994-01-01,78.5
1994-04-01,80.3
1994-07-01,82.1
1994-10-01,83.2
1995-01-01,84.3
1995-04-01,84.6
1995-07-01,84.0
1995-10-01,83.6
1996-01-01,82.1
1996-04-01,82.0
1996-07-01,81.9
1996-10-01,82.0
1997-01-01,83.4
1997-04-01,83.9
1997-07-01,84.8
1997-10-01,85.6
1998-01-01,85.7
1998-04-01,86.1
1998-07-01,85.5
1998-10-01,84.5
1999-01-01,84.0
1999-04-01,83.7
1999-07-01,84.1
1999-10-01,84.6
2000-01-01,85.6
2000-04-01,86.4
2000-07-01,87.0
2000-10-01,87.7
2001-01-01,87.9
2001-04-01,84.6
2001-07-01,83.9
2001-10-01,82.4
2002-01-01,82.3
2002-04-01,82.1
2002-07-01,82.6
2002-10-01,82.8
2003-01-01,82.6
2003-04-01,82.9
2003-07-01,82.5
2003-10-01,83.2
2004-01-01,83.5
2004-04-01,83.9
2004-07-01,84.3
2004-10-01,84.1
2005-01-01,83.9
2005-04-01,83.6
2005-07-01,83.9
2005-10-01,84.4
2006-01-01,85.0
2006-04-01,86.3
2006-07-01,87.2
2006-10-01,87.9
2007-01-01,88.0
2007-04-01,88.5
2007-07-01,88.4
2007-10-01,88.5
2008-01-01,88.2
2008-04-01,87.6
2008-07-01,86.5
2008-10-01,84.9
2009-01-01,75.3
2009-04-01,70.3
2009-07-01,70.8
2009-10-01,72.8
2010-01-01,74.5
2010-04-01,79.4
2010-07-01,82.0
2010-10-01,83.5
2011-01-01,84.7
2011-04-01,85.8
2011-07-01,85.9
2011-10-01,85.6
2012-01-01,84.8
2012-04-01,84.4
2012-07-01,83.5
2012-10-01,82.5
2013-01-01,82.6
2013-04-01,82.5
2013-07-01,83.1
2013-10-01,83.8
2014-01-01,84.0
2014-04-01,84.4
2014-07-01,84.3
2014-10-01,84.2
2015-01-01,84.0
2015-04-01,84.3
2015-07-01,84.3
2015-10-01,84.1
2016-01-01,84.3
2016-04-01,84.3
2016-07-01,84.6
2016-10-01,85.2
2017-01-01,85.4
2017-04-01,86.3
2017-07-01,87.0
2017-10-01,87.5
2018-01-01,87.9
2018-04-01,87.8
2018-07-01,87.7
2018-10-01,87.1
2019-01-01,86.0
2019-04-01,85.1
2019-07-01,84.0
2019-10-01,83.2
2020-01-01,83.1
2020-04-01,69.7
2020-07-01,74.8
2020-10-01,81.6
2021-01-01,82.1
2021-04-01,85.0
2021-07-01,86.1
2021-10-01,85.8
2022-01-01,86.0
2022-04-01,85.0
2022-07-01,85.1
2022-10-01,85.0
2023-01-01,84.3
2023-04-01,84.1
2023-07-01,83.2
2023-10-01,82.1
2024-01-01,80.9
2024-04-01,79.7
2024-07-01,77.9
2024-10-01,76.7
2025-01-01,76.7
2025-04-01,77.0
2025-07-01,77.2
2025-10-01,77.7
2026-01-01,77.4
