t,DISP_INC
1991-01-01,248.068
1991-04-01,256.058
1991-07-01,253.775
1991-10-01,262.593
1992-01-01,269.581
1992-04-01,272.028
1992-07-01,275.105
1992-10-01,278.742
1993-01-01,279.676
1993-04-01,283.022
1993-07-01,283.378
1993-10-01,288.239
1994-01-01,290.148
1994-04-01,290.083
1994-07-01,293.151
1994-10-01,295.74
1995-01-01,295.55
1995-04-01,298.819
1995-07-01,300.594
1995-10-01,301.26
1996-01-01,304.424
1996-04-01,303.875
1996-07-01,305.063
1996-10-01,305.351
1997-01-01,306.094
1997-04-01,308.6
1997-07-01,310.608
1997-10-01,312.319
1998-01-01,312.504
1998-04-01,312.15
1998-07-01,315.26
1998-10-01,318.336
1999-01-01,320.508
1999-04-01,322.429
1999-07-01,324.378
1999-10-01,328.728
2000-01-01,331.155
2000-04-01,331.541
2000-07-01,332.438
2000-10-01,333.575
2001-01-01,344.167
2001-04-01,343.194
2001-07-01,344.588
2001-10-01,349.039
2002-01-01,345.676
2002-04-01,345.192
2002-07-01,350.286
2002-10-01,351.583
2003-01-01,357.921
2003-04-01,356.098
2003-07-01,360.312
2003-10-01,358.806
2004-01-01,364.491
2004-04-01,363.696
2004-07-01,364.3
2004-10-01,367.753
2005-01-01,368.432
2005-04-01,372.519
2005-07-01,373.664
2005-10-01,376.84
2006-01-01,379.629
2006-04-01,381.904
2006-07-01,382.82
2006-10-01,388.369
2007-01-01,388.477
2007-04-01,388.708
2007-07-01,389.529
2007-10-01,394.713
2008-01-01,398.782
2008-04-01,403.041
2008-07-01,403.071
2008-10-01,393.4
2009-01-01,395.137
2009-04-01,398.704
2009-07-01,398.563
2009-10-01,400.414
2010-01-01,400.074
2010-04-01,404.682
2010-07-01,408.844
2010-10-01,413.181
2011-01-01,412.404
2011-04-01,419.119
2011-07-01,420.608
2011-10-01,423.528
2012-01-01,430.805
2012-04-01,426.64
2012-07-01,428.936
2012-10-01,428.307
2013-01-01,428.286
2013-04-01,434.092
2013-07-01,437.525
2013-10-01,435.321
2014-01-01,440.033
2014-04-01,443.865
2014-07-01,448.747
2014-10-01,450.946
2015-01-01,449.861
2015-04-01,458.257
2015-07-01,462.501
2015-10-01,466.699
2016-01-01,464.784
2016-04-01,471.891
2016-07-01,473.469
2016-10-01,478.524
2017-01-01,483.79
2017-04-01,488.643
2017-07-01,490.716
2017-10-01,494.783
2018-01-01,502.735
2018-04-01,507.213
2018-07-01,508.435
2018-10-01,513.252
2019-01-01,514.009
2019-04-01,519.805
2019-07-01,525.212
2019-10-01,524.576
2020-01-01,521.494
2020-04-01,508.894
2020-07-01,522.855
2020-10-01,529.423
2021-01-01,530.552
2021-04-01,534.756
2021-07-01,531.112
2021-10-01,550.329
2022-01-01,564.255
2022-04-01,577.955
2022-07-01,589.985
2022-10-01,601.332
2023-01-01,607.899
2023-04-01,621.459
2023-07-01,620.758
2023-10-01,625.813
2024-01-01,634.706
2024-04-01,640.933
2024-07-01,647.141
2024-10-01,649.552
2025-01-01,651.768
2025-04-01,659.6
2025-07-01,668.055
2025-10-01,670.867
