t,VACANCIES
2000-01-01,426
2000-02-01,432
2000-03-01,433
2000-04-01,442
2000-05-01,454
2000-06-01,455
2000-07-01,459
2000-08-01,457
2000-09-01,459
2000-10-01,463
2000-11-01,471
2000-12-01,476
2001-01-01,468
2001-02-01,460
2001-03-01,454
2001-04-01,444
2001-05-01,436
2001-06-01,433
2001-07-01,426
2001-08-01,422
2001-09-01,418
2001-10-01,410
2001-11-01,399
2001-12-01,393
2002-01-01,395
2002-02-01,400
2002-03-01,401
2002-04-01,396
2002-05-01,392
2002-06-01,386
2002-07-01,370
2002-08-01,364
2002-09-01,351
2002-10-01,343
2002-11-01,333
2002-12-01,324
2003-01-01,315
2003-02-01,303
2003-03-01,293
2003-04-01,286
2003-05-01,270
2003-06-01,262
2003-07-01,258
2003-08-01,259
2003-09-01,244
2003-10-01,238
2003-11-01,234
2003-12-01,227
2004-01-01,220
2004-02-01,214
2004-03-01,205
2004-04-01,201
2004-05-01,205
2004-06-01,209
2004-07-01,204
2004-08-01,205
2004-09-01,201
2004-10-01,202
2004-11-01,201
2004-12-01,204
2005-01-01,214
2005-02-01,219
2005-03-01,228
2005-04-01,236
2005-05-01,246
2005-06-01,253
2005-07-01,261
2005-08-01,269
2005-09-01,277
2005-10-01,285
2005-11-01,285
2005-12-01,288
2006-01-01,293
2006-02-01,301
2006-03-01,309
2006-04-01,322
2006-05-01,339
2006-06-01,349
2006-07-01,362
2006-08-01,373
2006-09-01,381
2006-10-01,392
2006-11-01,402
2006-12-01,417
2007-01-01,424
2007-02-01,432
2007-03-01,434
2007-04-01,436
2007-05-01,433
2007-06-01,431
2007-07-01,424
2007-08-01,421
2007-09-01,414
2007-10-01,412
2007-11-01,408
2007-12-01,405
2008-01-01,400
2008-02-01,396
2008-03-01,396
2008-04-01,393
2008-05-01,390
2008-06-01,399
2008-07-01,396
2008-08-01,392
2008-09-01,389
2008-10-01,383
2008-11-01,374
2008-12-01,356
2009-01-01,342
2009-02-01,333
2009-03-01,319
2009-04-01,304
2009-05-01,294
2009-06-01,285
2009-07-01,281
2009-08-01,284
2009-09-01,288
2009-10-01,290
2009-11-01,294
2009-12-01,303
2010-01-01,306
2010-02-01,312
2010-03-01,322
2010-04-01,333
2010-05-01,348
2010-06-01,357
2010-07-01,371
2010-08-01,377
2010-09-01,382
2010-10-01,392
2010-11-01,399
2010-12-01,409
2011-01-01,420
2011-02-01,435
2011-03-01,444
2011-04-01,455
2011-05-01,460
2011-06-01,465
2011-07-01,470
2011-08-01,476
2011-09-01,483
2011-10-01,490
2011-11-01,497
2011-12-01,499
2012-01-01,501
2012-02-01,491
2012-03-01,491
2012-04-01,491
2012-05-01,490
2012-06-01,486
2012-07-01,480
2012-08-01,474
2012-09-01,468
2012-10-01,460
2012-11-01,454
2012-12-01,447
2013-01-01,462
2013-02-01,462
2013-03-01,460
2013-04-01,453
2013-05-01,451
2013-06-01,449
2013-07-01,453
2013-08-01,454
2013-09-01,458
2013-10-01,458
2013-11-01,460
2013-12-01,464
2014-01-01,464
2014-02-01,469
2014-03-01,473
2014-04-01,479
2014-05-01,478
2014-06-01,486
2014-07-01,488
2014-08-01,498
2014-09-01,504
2014-10-01,507
2014-11-01,514
2014-12-01,521
2015-01-01,525
2015-02-01,533
2015-03-01,542
2015-04-01,548
2015-05-01,554
2015-06-01,563
2015-07-01,573
2015-08-01,577
2015-09-01,582
2015-10-01,599
2015-11-01,609
2015-12-01,615
2016-01-01,625
2016-02-01,631
2016-03-01,636
2016-04-01,639
2016-05-01,653
2016-06-01,655
2016-07-01,657
2016-08-01,664
2016-09-01,667
2016-10-01,675
2016-11-01,678
2016-12-01,682
2017-01-01,692
2017-02-01,693
2017-03-01,697
2017-04-01,708
2017-05-01,714
2017-06-01,721
2017-07-01,732
2017-08-01,741
2017-09-01,749
2017-10-01,760
2017-11-01,768
2017-12-01,786
2018-01-01,784
2018-02-01,785
2018-03-01,786
2018-04-01,789
2018-05-01,794
2018-06-01,796
2018-07-01,802
2018-08-01,801
2018-09-01,806
2018-10-01,802
2018-11-01,802
2018-12-01,806
2019-01-01,805
2019-02-01,805
2019-03-01,808
2019-04-01,802
2019-05-01,794
2019-06-01,789
2019-07-01,779
2019-08-01,769
2019-09-01,759
2019-10-01,744
2019-11-01,732
2019-12-01,708
2020-01-01,708
2020-02-01,708
2020-03-01,701
2020-04-01,633
2020-05-01,586
2020-06-01,564
2020-07-01,558
2020-08-01,564
2020-09-01,569
2020-10-01,587
2020-11-01,597
2020-12-01,600
2021-01-01,599
2021-02-01,598
2021-03-01,618
2021-04-01,635
2021-05-01,656
2021-06-01,686
2021-07-01,726
2021-08-01,753
2021-09-01,772
2021-10-01,790
2021-11-01,805
2021-12-01,818
2022-01-01,833
2022-02-01,842
2022-03-01,850
2022-04-01,859
2022-05-01,868
2022-06-01,868
2022-07-01,860
2022-08-01,859
2022-09-01,846
2022-10-01,829
2022-11-01,821
2022-12-01,802
2023-01-01,801
2023-02-01,796
2023-03-01,787
2023-04-01,778
2023-05-01,768
2023-06-01,762
2023-07-01,756
2023-08-01,749
2023-09-01,740
2023-10-01,736
2023-11-01,732
2023-12-01,729
2024-01-01,729
2024-02-01,721
2024-03-01,714
2024-04-01,704
2024-05-01,703
2024-06-01,695
2024-07-01,690
2024-08-01,681
2024-09-01,679
2024-10-01,679
2024-11-01,667
2024-12-01,666
2025-01-01,658
2025-02-01,651
2025-03-01,648
2025-04-01,648
2025-05-01,635
2025-06-01,627
2025-07-01,618
2025-08-01,617
2025-09-01,616
2025-10-01,615
2025-11-01,623
2025-12-01,628
2026-01-01,621
2026-02-01,649
2026-03-01,643
