"";BBDE1.M.DE.Y.GUA1.A2R410050.B2.V.ABA.A;BBDE1.M.DE.Y.GUA1.A2R410050.B2.V.ABA.A_FLAGS
"";Umsatz Insgesamt / in jeweiligen Preisen / Deutschland / 41+42 Hochbau und Tiefbau / Angaben für Betriebe mit mindestens 20 Beschäftigten / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Milliarden;
Einheit;Euro;
Format der Zeitangabe;P1M;
Kategorie;KPPR;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Summe;
Stand vom;25.03.2026 08:02:08 Uhr;
2009-01;3,51;
2009-02;3,43;
2009-03;3,45;
2009-04;3,57;
2009-05;3,51;
2009-06;3,56;
2009-07;3,50;
2009-08;3,58;
2009-09;3,55;
2009-10;3,59;
2009-11;3,54;
2009-12;3,53;
2010-01;2,89;
2010-02;2,52;
2010-03;3,02;
2010-04;3,45;
2010-05;3,56;
2010-06;3,60;
2010-07;3,61;
2010-08;3,63;
2010-09;3,70;
2010-10;3,76;
2010-11;3,63;
2010-12;3,30;
2011-01;3,52;
2011-02;3,81;
2011-03;3,86;
2011-04;3,87;
2011-05;3,99;
2011-06;3,81;
2011-07;3,84;
2011-08;3,87;
2011-09;3,91;
2011-10;4,05;
2011-11;4,02;
2011-12;4,14;
2012-01;4,14;
2012-02;3,33;
2012-03;3,90;
2012-04;3,93;
2012-05;4,02;
2012-06;4,03;
2012-07;4,11;
2012-08;4,06;
2012-09;4,13;
2012-10;4,05;
2012-11;4,09;
2012-12;3,85;
2013-01;3,73;
2013-02;3,69;
2013-03;3,44;
2013-04;3,90;
2013-05;3,96;
2013-06;4,21;
2013-07;4,28;
2013-08;4,30;
2013-09;4,30;
2013-10;4,33;
2013-11;4,37;
2013-12;4,38;
2014-01;4,50;
2014-02;4,53;
2014-03;4,46;
2014-04;4,37;
2014-05;4,23;
2014-06;4,22;
2014-07;4,21;
2014-08;4,30;
2014-09;4,26;
2014-10;4,45;
2014-11;4,42;
2014-12;4,27;
2015-01;4,47;
2015-02;4,29;
2015-03;4,31;
2015-04;4,28;
2015-05;4,28;
2015-06;4,27;
2015-07;4,38;
2015-08;4,38;
2015-09;4,40;
2015-10;4,43;
2015-11;4,42;
2015-12;4,59;
2016-01;4,41;
2016-02;4,55;
2016-03;4,47;
2016-04;4,52;
2016-05;4,61;
2016-06;4,57;
2016-07;4,63;
2016-08;4,65;
2016-09;4,82;
2016-10;4,74;
2016-11;4,68;
2016-12;5,20;
2017-01;4,61;
2017-02;4,90;
2017-03;5,01;
2017-04;5,18;
2017-05;5,15;
2017-06;5,22;
2017-07;5,20;
2017-08;5,19;
2017-09;5,16;
2017-10;5,12;
2017-11;5,23;
2017-12;5,22;
2018-01;5,46;
2018-02;5,32;
2018-03;4,96;
2018-04;5,47;
2018-05;5,68;
2018-06;5,66;
2018-07;5,74;
2018-08;5,79;
2018-09;5,82;
2018-10;5,85;
2018-11;5,83;
2018-12;5,84;
2019-01;5,95;
2019-02;6,00;
2019-03;6,24;
2019-04;6,30;
2019-05;6,05;
2019-06;6,12;
2019-07;5,96;
2019-08;6,15;
2019-09;6,17;
2019-10;6,08;
2019-11;6,11;
2019-12;6,13;
2020-01;6,88;
2020-02;6,77;
2020-03;6,60;
2020-04;6,50;
2020-05;6,47;
2020-06;6,51;
2020-07;5,97;
2020-08;6,26;
2020-09;6,23;
2020-10;6,25;
2020-11;6,34;
2020-12;7,26;
2021-01;6,16;
2021-02;5,54;
2021-03;6,12;
2021-04;6,58;
2021-05;6,38;
2021-06;6,38;
2021-07;6,38;
2021-08;6,40;
2021-09;6,48;
2021-10;6,58;
2021-11;6,58;
2021-12;7,12;
2022-01;7,10;
2022-02;6,94;
2022-03;6,99;
2022-04;6,87;
2022-05;6,88;
2022-06;6,98;
2022-07;6,98;
2022-08;7,01;
2022-09;7,04;
2022-10;7,23;
2022-11;7,38;
2022-12;7,35;
2023-01;7,18;
2023-02;7,40;
2023-03;7,34;
2023-04;7,23;
2023-05;7,40;
2023-06;7,29;
2023-07;7,41;
2023-08;7,21;
2023-09;7,39;
2023-10;7,28;
2023-11;7,17;
2023-12;7,20;
2024-01;6,85;
2024-02;7,22;
2024-03;7,33;
2024-04;7,34;
2024-05;7,18;
2024-06;7,19;
2024-07;7,19;
2024-08;7,60;
2024-09;7,22;
2024-10;7,30;
2024-11;7,40;
2024-12;7,28;
2025-01;7,72;
2025-02;7,59;
2025-03;7,45;
2025-04;7,51;
2025-05;7,45;
2025-06;7,48;
2025-07;7,48;
2025-08;7,53;
2025-09;7,48;
2025-10;7,77;
2025-11;7,91;
2025-12;7,82;
2026-01;7,66;
