"";BBNZ1.Q.DE.Y.H.0110.A;BBNZ1.Q.DE.Y.H.0110.A_FLAGS
"";Deutschland / Verwendung des Bruttoinlandsprodukts / Exporte von Waren und Dienstleistungen / In verketteten Vorjahrespreisen (Kettenindex) / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;25.02.2026 08:08:57 Uhr;
1991-Q1;32,95;
1991-Q2;31,02;
1991-Q3;32,52;
1991-Q4;32,59;
1992-Q1;32,99;
1992-Q2;31,40;
1992-Q3;32,27;
1992-Q4;30,78;
1993-Q1;29,74;
1993-Q2;29,06;
1993-Q3;29,14;
1993-Q4;29,68;
1994-Q1;30,66;
1994-Q2;32,09;
1994-Q3;31,93;
1994-Q4;32,14;
1995-Q1;33,40;
1995-Q2;33,70;
1995-Q3;33,91;
1995-Q4;34,46;
1996-Q1;34,95;
1996-Q2;35,08;
1996-Q3;35,93;
1996-Q4;37,57;
1997-Q1;38,26;
1997-Q2;39,37;
1997-Q3;41,46;
1997-Q4;42,05;
1998-Q1;42,96;
1998-Q2;43,67;
1998-Q3;43,16;
1998-Q4;42,46;
1999-Q1;42,70;
1999-Q2;44,95;
1999-Q3;45,88;
1999-Q4;46,85;
2000-Q1;49,05;
2000-Q2;50,88;
2000-Q3;51,71;
2000-Q4;54,45;
2001-Q1;54,28;
2001-Q2;54,51;
2001-Q3;54,37;
2001-Q4;55,07;
2002-Q1;54,79;
2002-Q2;56,46;
2002-Q3;57,35;
2002-Q4;58,40;
2003-Q1;56,59;
2003-Q2;56,39;
2003-Q3;58,07;
2003-Q4;59,46;
2004-Q1;61,81;
2004-Q2;64,56;
2004-Q3;63,42;
2004-Q4;63,70;
2005-Q1;65,30;
2005-Q2;66,41;
2005-Q3;69,12;
2005-Q4;70,12;
2006-Q1;72,36;
2006-Q2;74,63;
2006-Q3;76,70;
2006-Q4;81,08;
2007-Q1;80,47;
2007-Q2;82,50;
2007-Q3;84,11;
2007-Q4;84,87;
2008-Q1;85,56;
2008-Q2;85,15;
2008-Q3;84,43;
2008-Q4;79,71;
2009-Q1;70,37;
2009-Q2;69,80;
2009-Q3;72,02;
2009-Q4;74,10;
2010-Q1;76,31;
2010-Q2;81,69;
2010-Q3;83,01;
2010-Q4;84,63;
2011-Q1;86,72;
2011-Q2;87,91;
2011-Q3;88,87;
2011-Q4;88,42;
2012-Q1;90,14;
2012-Q2;90,88;
2012-Q3;91,95;
2012-Q4;90,42;
2013-Q1;90,07;
2013-Q2;90,34;
2013-Q3;91,89;
2013-Q4;93,49;
2014-Q1;93,36;
2014-Q2;94,22;
2014-Q3;95,89;
2014-Q4;97,78;
2015-Q1;98,27;
2015-Q2;100,00;
2015-Q3;99,97;
2015-Q4;99,43;
2016-Q1;100,42;
2016-Q2;101,49;
2016-Q3;101,29;
2016-Q4;101,65;
2017-Q1;103,60;
2017-Q2;105,56;
2017-Q3;106,55;
2017-Q4;107,46;
2018-Q1;108,90;
2018-Q2;109,38;
2018-Q3;108,10;
2018-Q4;108,32;
2019-Q1;111,64;
2019-Q2;110,24;
2019-Q3;111,28;
2019-Q4;110,65;
2020-Q1;107,71;
2020-Q2;85,42;
2020-Q3;100,28;
2020-Q4;104,82;
2021-Q1;107,97;
2021-Q2;109,07;
2021-Q3;108,11;
2021-Q4;112,87;
2022-Q1;113,56;
2022-Q2;112,91;
2022-Q3;114,91;
2022-Q4;114,35;
2023-Q1;113,95;
2023-Q2;112,28;
2023-Q3;112,40;
2023-Q4;112,86;
2024-Q1;111,78;
2024-Q2;112,41;
2024-Q3;110,52;
2024-Q4;108,24;
2025-Q1;110,92;
2025-Q2;111,17;
2025-Q3;110,15;
2025-Q4;109,45;
