"";BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I21.A;BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I21.A_FLAGS
"";Produktion im Produzierenden Gewerbe / Deutschland / Produzierendes Gewerbe ohne Bau (B - D) / kalender- und saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2021=100;
Format der Zeitangabe;P1M;
Kategorie;KPPR;
Quelle;Kalender- und Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;09.04.2026 08:04:56 Uhr;
1991-01;81,8;
1991-02;80,9;
1991-03;80,2;
1991-04;79,5;
1991-05;78,7;
1991-06;81,6;
1991-07;79,0;
1991-08;78,2;
1991-09;77,9;
1991-10;79,1;
1991-11;80,0;
1991-12;79,8;
1992-01;81,1;
1992-02;81,9;
1992-03;80,0;
1992-04;79,9;
1992-05;79,0;
1992-06;78,2;
1992-07;76,5;
1992-08;77,2;
1992-09;76,5;
1992-10;76,4;
1992-11;75,2;
1992-12;73,8;
1993-01;73,7;
1993-02;72,5;
1993-03;72,4;
1993-04;71,8;
1993-05;71,6;
1993-06;71,3;
1993-07;69,8;
1993-08;72,8;
1993-09;72,4;
1993-10;72,4;
1993-11;72,1;
1993-12;72,7;
1994-01;72,2;
1994-02;73,4;
1994-03;72,9;
1994-04;74,0;
1994-05;73,6;
1994-06;73,9;
1994-07;73,7;
1994-08;73,7;
1994-09;74,7;
1994-10;76,2;
1994-11;75,9;
1994-12;76,1;
1995-01;74,7;
1995-02;75,7;
1995-03;75,2;
1995-04;75,6;
1995-05;76,1;
1995-06;75,4;
1995-07;75,0;
1995-08;74,3;
1995-09;75,6;
1995-10;73,7;
1995-11;74,2;
1995-12;74,6;
1996-01;74,5;
1996-02;74,5;
1996-03;74,7;
1996-04;74,2;
1996-05;75,1;
1996-06;75,0;
1996-07;74,3;
1996-08;75,7;
1996-09;75,9;
1996-10;75,0;
1996-11;75,9;
1996-12;76,0;
1997-01;75,5;
1997-02;75,9;
1997-03;76,8;
1997-04;76,4;
1997-05;75,9;
1997-06;78,0;
1997-07;78,9;
1997-08;76,5;
1997-09;77,2;
1997-10;78,3;
1997-11;78,7;
1997-12;79,4;
1998-01;79,9;
1998-02;79,8;
1998-03;80,8;
1998-04;80,4;
1998-05;80,7;
1998-06;79,9;
1998-07;81,9;
1998-08;80,4;
1998-09;79,6;
1998-10;80,0;
1998-11;79,0;
1998-12;79,1;
1999-01;80,5;
1999-02;79,0;
1999-03;79,6;
1999-04;80,3;
1999-05;80,6;
1999-06;80,5;
1999-07;81,1;
1999-08;81,9;
1999-09;81,4;
1999-10;82,4;
1999-11;82,4;
1999-12;82,6;
2000-01;81,9;
2000-02;83,7;
2000-03;83,6;
2000-04;84,8;
2000-05;86,8;
2000-06;84,3;
2000-07;86,4;
2000-08;86,9;
2000-09;87,0;
2000-10;86,7;
2000-11;87,1;
2000-12;87,5;
2001-01;87,2;
2001-02;88,2;
2001-03;87,1;
2001-04;86,0;
2001-05;86,8;
2001-06;86,7;
2001-07;84,5;
2001-08;86,8;
2001-09;85,6;
2001-10;84,0;
2001-11;83,2;
2001-12;84,1;
2002-01;83,9;
2002-02;84,1;
2002-03;84,6;
2002-04;84,8;
2002-05;84,1;
2002-06;85,8;
2002-07;84,5;
2002-08;86,3;
2002-09;85,5;
2002-10;84,8;
2002-11;85,9;
2002-12;84,5;
2003-01;85,3;
2003-02;85,6;
2003-03;85,6;
2003-04;85,3;
2003-05;84,8;
2003-06;84,3;
2003-07;85,9;
2003-08;84,2;
2003-09;83,7;
2003-10;86,0;
2003-11;86,6;
2003-12;87,0;
2004-01;87,1;
2004-02;87,3;
2004-03;86,6;
2004-04;87,9;
2004-05;88,6;
2004-06;87,9;
2004-07;89,1;
2004-08;88,2;
2004-09;88,0;
2004-10;89,1;
2004-11;87,6;
2004-12;87,7;
2005-01;89,6;
2005-02;88,6;
2005-03;89,6;
2005-04;90,2;
2005-05;89,2;
2005-06;91,0;
2005-07;92,2;
2005-08;89,8;
2005-09;91,9;
2005-10;93,6;
2005-11;92,7;
2005-12;92,7;
2006-01;93,7;
2006-02;93,9;
2006-03;93,0;
2006-04;94,9;
2006-05;95,8;
2006-06;95,5;
2006-07;97,1;
2006-08;97,6;
2006-09;97,3;
2006-10;96,9;
2006-11;98,6;
2006-12;99,5;
2007-01;99,2;
2007-02;100,1;
2007-03;100,6;
2007-04;99,8;
2007-05;101,6;
2007-06;101,8;
2007-07;102,5;
2007-08;102,7;
2007-09;103,6;
2007-10;103,8;
2007-11;103,5;
2007-12;104,4;
2008-01;105,3;
2008-02;104,9;
2008-03;104,8;
2008-04;105,4;
2008-05;103,0;
2008-06;104,1;
2008-07;102,5;
2008-08;104,1;
2008-09;102,1;
2008-10;100,0;
2008-11;95,6;
2008-12;92,1;
2009-01;85,7;
2009-02;82,9;
2009-03;83,0;
2009-04;80,5;
2009-05;84,0;
2009-06;85,4;
2009-07;84,4;
2009-08;85,6;
2009-09;89,0;
2009-10;87,3;
2009-11;87,8;
2009-12;88,2;
2010-01;89,4;
2010-02;88,5;
2010-03;90,6;
2010-04;92,4;
2010-05;95,4;
2010-06;94,4;
2010-07;94,4;
2010-08;95,6;
2010-09;96,8;
2010-10;98,9;
2010-11;98,3;
2010-12;100,2;
2011-01;99,5;
2011-02;100,5;
2011-03;100,9;
2011-04;101,1;
2011-05;102,1;
2011-06;100,5;
2011-07;103,7;
2011-08;102,9;
2011-09;101,3;
2011-10;102,5;
2011-11;101,8;
2011-12;100,7;
2012-01;101,1;
2012-02;101,5;
2012-03;102,3;
2012-04;100,8;
2012-05;102,5;
2012-06;101,4;
2012-07;102,2;
2012-08;102,4;
2012-09;101,1;
2012-10;99,7;
2012-11;99,0;
2012-12;99,5;
2013-01;98,6;
2013-02;99,3;
2013-03;101,1;
2013-04;101,0;
2013-05;100,2;
2013-06;102,0;
2013-07;100,4;
2013-08;102,4;
2013-09;102,1;
2013-10;101,4;
2013-11;103,1;
2013-12;103,3;
2014-01;102,6;
2014-02;102,6;
2014-03;102,9;
2014-04;102,5;
2014-05;102,0;
2014-06;102,1;
2014-07;103,8;
2014-08;100,1;
2014-09;102,6;
2014-10;102,9;
2014-11;102,8;
2014-12;104,5;
2015-01;102,0;
2015-02;103,1;
2015-03;103,1;
2015-04;103,9;
2015-05;104,1;
2015-06;104,0;
2015-07;105,5;
2015-08;102,9;
2015-09;103,1;
2015-10;104,0;
2015-11;102,7;
2015-12;103,2;
2016-01;104,8;
2016-02;104,6;
2016-03;103,8;
2016-04;104,5;
2016-05;102,8;
2016-06;104,7;
2016-07;103,4;
2016-08;105,0;
2016-09;104,7;
2016-10;105,4;
2016-11;105,2;
2016-12;102,8;
2017-01;104,6;
2017-02;105,4;
2017-03;104,9;
2017-04;106,9;
2017-05;107,2;
2017-06;107,0;
2017-07;107,5;
2017-08;110,0;
2017-09;108,9;
2017-10;107,3;
2017-11;111,1;
2017-12;110,3;
2018-01;109,6;
2018-02;107,8;
2018-03;109,5;
2018-04;108,8;
2018-05;110,4;
2018-06;110,1;
2018-07;108,2;
2018-08;109,7;
2018-09;108,4;
2018-10;108,1;
2018-11;106,1;
2018-12;107,3;
2019-01;107,0;
2019-02;106,4;
2019-03;107,5;
2019-04;106,0;
2019-05;106,4;
2019-06;105,1;
2019-07;104,7;
2019-08;105,1;
2019-09;104,1;
2019-10;103,5;
2019-11;103,8;
2019-12;101,4;
2020-01;104,5;
2020-02;105,1;
2020-03;94,4;
2020-04;74,2;
2020-05;82,5;
2020-06;92,1;
2020-07;94,1;
2020-08;94,0;
2020-09;96,4;
2020-10;100,1;
2020-11;101,3;
2020-12;101,2;
2021-01;101,6;
2021-02;99,5;
2021-03;100,9;
2021-04;101,0;
2021-05;100,4;
2021-06;98,3;
2021-07;100,2;
2021-08;95,1;
2021-09;95,8;
2021-10;99,3;
2021-11;99,7;
2021-12;100,9;
2022-01;100,8;
2022-02;101,1;
2022-03;95,7;
2022-04;97,7;
2022-05;99,2;
2022-06;99,4;
2022-07;99,5;
2022-08;98,4;
2022-09;100,6;
2022-10;99,3;
2022-11;99,9;
2022-12;97,8;
2023-01;99,2;
2023-02;101,5;
2023-03;98,9;
2023-04;98,0;
2023-05;99,7;
2023-06;97,3;
2023-07;96,4;
2023-08;96,3;
2023-09;95,5;
2023-10;95,2;
2023-11;95,0;
2023-12;93,5;
2024-01;94,2;
2024-02;95,1;
2024-03;93,6;
2024-04;94,1;
2024-05;91,9;
2024-06;93,6;
2024-07;91,2;
2024-08;93,3;
2024-09;91,8;
2024-10;91,2;
2024-11;92,1;
2024-12;90,8;
2025-01;91,7;
2025-02;91,3;
2025-03;93,6;
2025-04;91,6;
2025-05;92,1;
2025-06;91,8;
2025-07;93,0;
2025-08;89,5;
2025-09;91,1;
2025-10;92,4;Vorläufiger Wert
2025-11;93,1;Vorläufiger Wert
2025-12;91,3;Vorläufiger Wert
2026-01;91,8;Vorläufiger Wert
2026-02;91,7;Vorläufiger Wert
