hidden_size,batch_size,mse_mean,mse_std,epochs_mean,time_mean
4,16,0.179186205509595,0.06865035873724132,223.53333333333333,13.679155270258585
4,8,0.1830726840514917,0.06411521260193843,189.4,14.446948369344076
8,16,0.18655386763667503,0.08391547328593534,185.4,11.421517610549927
4,32,0.18722530924477984,0.0630519895815925,302.1333333333334,16.24483871459961
8,8,0.18915356979528739,0.08402391640146079,158.33333333333334,12.186426321665445
8,32,0.18937870810679128,0.08143330521880934,233.9333333333333,12.599946975708008
2,32,0.19095018292058027,0.06582232376023256,466.0,25.030479351679485
2,8,0.19419909184917913,0.0753695845056138,290.3333333333333,24.160085201263428
2,16,0.19981862171206055,0.05907422682940501,382.4666666666667,24.147302865982056
32,8,0.20232780699847863,0.050387613266986334,118.46666666666665,9.913353761037191
32,32,0.20418602718670076,0.05065904735634352,144.86666666666667,8.200713396072388
32,16,0.20498557998307496,0.05083285155501511,129.0,8.449135462443033
16,8,0.21803778708030075,0.05702988076795722,131.26666666666668,10.866697311401367
16,16,0.2249165811299573,0.05631238014912099,149.26666666666668,9.7069304784139
16,32,0.23165289947250667,0.05688560789962276,174.9333333333333,9.718374252319336
